Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
2,Eesti Vabaerakond,HARLY KIRSPUU,15
2,Eesti Vabaerakond,MATI ROOSNURM,14
2,Eesti Vabaerakond,MART MUTSO,13
2,Eesti Vabaerakond,EVE VIIDALEPP,12
2,Eesti Vabaerakond,EVE OSA,12
2,Eesti Vabaerakond,ANDRES LINTS,9
2,Eesti Vabaerakond,AVE LOSSMANN,7
2,Eesti Vabaerakond,IIVI ZAJEDOVA,7
2,Eesti Vabaerakond,ALDO VAINO,6
2,Eesti Vabaerakond,ALAR TINNUS,2
2,Eesti Reformierakond,SIIM KALLAS,8733
2,Eesti Reformierakond,KEIT PENTUS-ROSIMANNUS,2482
2,Eesti Reformierakond,KRISTINA ŠMIGUN-VÄHI,2002
2,Eesti Reformierakond,ANDRES SUTT,1905
2,Eesti Reformierakond,IVI EENMAA,932
2,Eesti Reformierakond,TOOMAS KRUUSIMÄGI,566
2,Eesti Reformierakond,ÜLLE RAJASALU,561
2,Eesti Reformierakond,JUHAN KANGILASKI,310
2,Eesti Reformierakond,KAUPO NÕLVAK,304
2,Eesti Reformierakond,HELEN MAHMASTOL,154
2,Eesti Reformierakond,MARGIT ELVISTE,137
2,Eesti Reformierakond,TAAVI TOPPI,129
2,Eesti Reformierakond,TIIT SOORM,69
2,Eesti Reformierakond,RAINAR ENDEN,65
2,Eesti Reformierakond,MEELIS SOLL,51
2,Erakond Eestimaa Rohelised,ALEKSANDER LAANE,383
2,Erakond Eestimaa Rohelised,HEIKI VALNER,270
2,Erakond Eestimaa Rohelised,REET HÄRMAT,183
2,Erakond Eestimaa Rohelised,LAURA LISETE ROOSAAR,144
2,Erakond Eestimaa Rohelised,HELINA TILK,139
2,Erakond Eestimaa Rohelised,OLEV-ANDRES TINN,62
2,Erakond Eestimaa Rohelised,OSKAR-ALEKSANDER LESMENT,54
2,Erakond Eestimaa Rohelised,VOOTELE VAHER,52
2,Erakond Eestimaa Rohelised,ALEKSANDER POTOTSKI,51
2,Erakond Eestimaa Rohelised,ANNALIISA ASVEIT,45
2,Erakond Eestimaa Rohelised,RENE KUULMANN,30
2,Erakond Eestimaa Rohelised,ALLAN TALU,17
2,Erakond Eestimaa Rohelised,ULVI KOOP,14
2,Erakond Eestimaa Rohelised,MAKSIM ERIKSSON,14
2,Erakond Eestimaa Rohelised,ÜLLE RINGMÄE,13
2,Sotsiaaldemokraatlik Erakond,JEVGENI OSSINOVSKI,2680
2,Sotsiaaldemokraatlik Erakond,MADLE LIPPUS,478
2,Sotsiaaldemokraatlik Erakond,TRIIN TOOMESAAR,476
2,Sotsiaaldemokraatlik Erakond,MONIKA HAUKANÕMM,456
2,Sotsiaaldemokraatlik Erakond,BARBI-JENNY PILVRE-STORGARD,371
2,Sotsiaaldemokraatlik Erakond,ANASTASSIA KOVALENKO,357
2,Sotsiaaldemokraatlik Erakond,ANDREI HVOSTOV,240
2,Sotsiaaldemokraatlik Erakond,KARL-MARTIN SINIJÄRV,203
2,Sotsiaaldemokraatlik Erakond,MAIMU BERG,162
2,Sotsiaaldemokraatlik Erakond,KRISTA KAMPUS,131
2,Sotsiaaldemokraatlik Erakond,JAAK ALLIK,124
2,Sotsiaaldemokraatlik Erakond,KRISTEL RANNAÄÄRE,111
2,Sotsiaaldemokraatlik Erakond,KIRILL KLAUS,49
2,Sotsiaaldemokraatlik Erakond,ALLAN KALJAKIN,32
2,Sotsiaaldemokraatlik Erakond,MIHHAIL BELJAJEV,26
2,Elurikkuse Erakond,TOOMAS TRAPIDO,363
2,Elurikkuse Erakond,HELEN ORAV-KOTTA,91
2,Elurikkuse Erakond,PIRET RÄNI,79
2,Elurikkuse Erakond,EVE RANDVERE,47
2,Elurikkuse Erakond,MADIS MARK,30
2,Elurikkuse Erakond,TEET RANDMA,26
2,Elurikkuse Erakond,REET POOM,21
2,Elurikkuse Erakond,JÜRI KÕUK ROOST,13
2,Elurikkuse Erakond,JAANUS-JUHAN ILLEND,12
2,Eesti Konservatiivne Rahvaerakond,LEO KUNNAS,4813
2,Eesti Konservatiivne Rahvaerakond,ENDEL OJA,528
2,Eesti Konservatiivne Rahvaerakond,MAIT TALU,279
2,Eesti Konservatiivne Rahvaerakond,MARE LIIGER,275
2,Eesti Konservatiivne Rahvaerakond,HASSO UUETOA,224
2,Eesti Konservatiivne Rahvaerakond,URMAS SIMON,163
2,Eesti Konservatiivne Rahvaerakond,KAIRET REMMAK-GRASSMANN,154
2,Eesti Konservatiivne Rahvaerakond,RAUL ÖPIK,137
2,Eesti Konservatiivne Rahvaerakond,VILJO TAMM,132
2,Erakond Eesti 200,KRISTINA KALLAS,2306
2,Erakond Eesti 200,GRIGORE-KALEV STOICESCU,395
2,Erakond Eesti 200,MEELIS NIINEPUU,241
2,Erakond Eesti 200,MART SANDER,221
2,Erakond Eesti 200,TOOMAS UIBO,149
2,Erakond Eesti 200,ERIK VEST,106
2,Erakond Eesti 200,AARE LAPÕNIN,72
2,Erakond Eesti 200,PAVEL STARKOV,61
2,Erakond Eesti 200,ANNE KAHRU,45
2,Erakond Eesti 200,ALEKSEI JAŠIN,43
2,Erakond Eesti 200,AVE TALU,34
2,Erakond Eesti 200,JULIA RUSTAMOVA,31
