Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
5,Eesti Reformierakond,URVE TIIDUS,2617
5,Eesti Reformierakond,AIVAR VIIDIK,893
5,Eesti Reformierakond,JAANUS RATAS,824
5,Eesti Reformierakond,MAIRE FORSEL,460
5,Eesti Reformierakond,HEIKI KRANICH,390
5,Eesti Reformierakond,TIIU ARO,331
5,Eesti Reformierakond,JAANUS MÜÜR,291
5,Erakond Eestimaa Rohelised,ALEKSEI LOTMAN,320
5,Erakond Eestimaa Rohelised,RASMUS LAHTVEE,100
5,Erakond Eestimaa Rohelised,LOORE HÄRMAT,72
5,Erakond Eestimaa Rohelised,STEVE TRUUMETS,39
5,Erakond Eestimaa Rohelised,KRISTEN KANNIK,35
5,Erakond Eestimaa Rohelised,MERIKE KURVITS,25
5,Erakond Eestimaa Rohelised,KRISSIKA KAST,25
5,Erakond Eestimaa Rohelised,MARET MERISAAR,23
5,Sotsiaaldemokraatlik Erakond,REILI RAND,918
5,Sotsiaaldemokraatlik Erakond,MADIS KALLAS,812
5,Sotsiaaldemokraatlik Erakond,NEEME SUUR,640
5,Sotsiaaldemokraatlik Erakond,HEIKI HANSO,355
5,Sotsiaaldemokraatlik Erakond,KAIRIT LINDMÄE,249
5,Sotsiaaldemokraatlik Erakond,HERGO TASUJA,208
5,Sotsiaaldemokraatlik Erakond,SILVI TEESALU,141
5,Sotsiaaldemokraatlik Erakond,KAIDO SIPELGAS,91
5,Elurikkuse Erakond,KAUPO VIPP,198
5,Elurikkuse Erakond,ENN KALJO,40
5,Elurikkuse Erakond,SIRKKA PINTMANN,32
5,Elurikkuse Erakond,SILJA REEMET,31
5,Elurikkuse Erakond,MÄRT RANDOJA,30
5,Elurikkuse Erakond,ENRI PAHAPILL,19
5,Eesti Konservatiivne Rahvaerakond,HELLE-MOONIKA HELME,3202
5,Eesti Konservatiivne Rahvaerakond,JAEN TEÄR,1124
5,Eesti Konservatiivne Rahvaerakond,HARDI REHKALT,722
5,Eesti Konservatiivne Rahvaerakond,AGNES PULK,653
5,Eesti Konservatiivne Rahvaerakond,DANIEL MEREÄÄR,442
5,Eesti Konservatiivne Rahvaerakond,TOOMAS VALLIMÄE,367
5,Eesti Konservatiivne Rahvaerakond,MARTIN JUDANOV,231
5,Eesti Konservatiivne Rahvaerakond,ILLE PALUSALU,153
5,Erakond Eesti 200,KOIT KELDER,903
5,Erakond Eesti 200,TOOMAS KASEMAA,163
5,Erakond Eesti 200,KEITH SIILATS,89
5,Erakond Eesti 200,JAANIKA ROOSMAN,85
5,Erakond Eesti 200,LARS UUS,50
5,Erakond Eesti 200,ANU UIBO,49
5,Erakond Eesti 200,MARTIN VAHIMETS,35
5,Erakond Eesti 200,ANDRI SIMO,30
5,Eesti Keskerakond,ENN EESMAA,1805
5,Eesti Keskerakond,JAANUS KARILAID,1661
5,Eesti Keskerakond,MIHKEL UNDREST,1024
5,Eesti Keskerakond,ANTTI LEIGRI,427
5,Eesti Keskerakond,REA RAUS,303
5,Eesti Keskerakond,MAIRE KÄÄRID,258
5,Eesti Keskerakond,AIVAR ARU,149
5,Eesti Keskerakond,ÜLLAR NEEMRAND,109
5,Eestimaa Ühendatud Vasakpartei,DIANA KOOR,13
5,Isamaa Erakond,RAIVO AEG,1451
5,Isamaa Erakond,MART MAASTIK,523
5,Isamaa Erakond,ANTI TOPLAAN,473
5,Isamaa Erakond,KAIDO KAASIK,372
5,Isamaa Erakond,TOOMAS SCHMIDT,221
5,Isamaa Erakond,GEORG LINKOV,141
5,Isamaa Erakond,TIIT HARJAK,90
5,Isamaa Erakond,TÕNU MUNK,76
5,Üksikkandidaadid,HARRY RAUDVERE,406
6,Eesti Vabaerakond,PAVO RAUDSEPP,87
6,Eesti Vabaerakond,PIRET PIHEL,37
6,Eesti Vabaerakond,REIN KOTŠIN,21
6,Eesti Vabaerakond,AVE PÜTSEPP,15
6,Eesti Vabaerakond,KOIT KUUSK,12
6,Eesti Vabaerakond,MARJE SALVE,8
6,Eesti Vabaerakond,VEANA HEINMETS,5
6,Eesti Reformierakond,TAAVI RÕIVAS,2847
6,Eesti Reformierakond,MARKO TORM,1298
6,Eesti Reformierakond,KATRIN KUUSEMÄE,640
6,Eesti Reformierakond,MATI RAIDMA,617
6,Eesti Reformierakond,INDREK KESKÜLA,547
6,Eesti Reformierakond,RIHO TELL,228
6,Eesti Reformierakond,LEO AADEL,219
6,Erakond Eestimaa Rohelised,ANDRES JAADLA,106
6,Erakond Eestimaa Rohelised,JAANUS NURMOJA,51
6,Erakond Eestimaa Rohelised,REIGO LEHTLA,42
6,Erakond Eestimaa Rohelised,RIINA ODNENKO,40
6,Erakond Eestimaa Rohelised,AARE VEEDLA,30
6,Erakond Eestimaa Rohelised,ALLAN JAAKUS,27
6,Erakond Eestimaa Rohelised,VEERA KOSTINA,14
6,Sotsiaaldemokraatlik Erakond,INDREK SAAR,1332
6,Sotsiaaldemokraatlik Erakond,ENE AUGASMÄGI,329
6,Sotsiaaldemokraatlik Erakond,KAIRIT PIHLAK,201
6,Sotsiaaldemokraatlik Erakond,KELLY KONETSKI-RAMUL,178
6,Sotsiaaldemokraatlik Erakond,EERIK LUMISTE,163
6,Sotsiaaldemokraatlik Erakond,MARGUS PUNANE,142
6,Sotsiaaldemokraatlik Erakond,GARRI RAAGMAA,83
6,Elurikkuse Erakond,LAURI KLEIN,116
6,Elurikkuse Erakond,CORNELIA KOTTO,46
6,Elurikkuse Erakond,JÜRI-ILLIMAR REINBERG-ŠESTAKOV,13
6,Eesti Konservatiivne Rahvaerakond,ANTI POOLAMETS,3335
6,Eesti Konservatiivne Rahvaerakond,AARNE MÄE,818
6,Eesti Konservatiivne Rahvaerakond,MARTI KUUSIK,657
6,Eesti Konservatiivne Rahvaerakond,TANEL TARKMEES,317
6,Eesti Konservatiivne Rahvaerakond,LEO BERGSTRÖM,291
6,Eesti Konservatiivne Rahvaerakond,UNO TRUMM,229
6,Eesti Konservatiivne Rahvaerakond,AIGAR PÕDER,121
6,Erakond Eesti 200,ANNES NAAN,310
6,Erakond Eesti 200,ELMU KOPPELMANN,145
6,Erakond Eesti 200,MADIS VIISE,91
6,Erakond Eesti 200,MARKO TEIVA,80
6,Erakond Eesti 200,TRIIN SIHVER,80
6,Erakond Eesti 200,TARMO TAMM,75
6,Erakond Eesti 200,AHTO NEIDEK,47
6,Eesti Keskerakond,SIRET KOTKA-REPINSKI,2095
6,Eesti Keskerakond,TOOMAS VÄINASTE,930
6,Eesti Keskerakond,TRIIN VAREK,912
6,Eesti Keskerakond,MAKSIM BUTŠENKOV,465
6,Eesti Keskerakond,JELENA FJODOROVA,396
6,Eesti Keskerakond,HANS KRUUSAMÄGI,306
6,Eesti Keskerakond,JAAN MÄNNIK,267
6,Eestimaa Ühendatud Vasakpartei,ANDREI ANISSIMOV,12
6,Isamaa Erakond,ÜLLAR SAAREMÄE,2023
6,Isamaa Erakond,MARKO POMERANTS,1989
6,Isamaa Erakond,EINAR VALLBAUM,423
6,Isamaa Erakond,TÕNIS PRULER,401
6,Isamaa Erakond,ALARI KIRT,313
6,Isamaa Erakond,MIHKEL JUHKAMI,177
6,Isamaa Erakond,TAMARA VAHTRA-AASMETS,135
7,Eesti Vabaerakond,JANE SNAITH,50
7,Eesti Vabaerakond,KARINA KÜPPAS,43
7,Eesti Vabaerakond,SIRJE PALLO,22
7,Eesti Vabaerakond,INNA ROSE,11
7,Eesti Vabaerakond,DENISS TIŠTŠENKO,8
7,Eesti Vabaerakond,LIDIA RETTIJEVA,6
7,Eesti Vabaerakond,MULJE KULLERKUP,5
7,Eesti Vabaerakond,ASKO SIRP,3
7,Eesti Vabaerakond,ANDO KUURA,1
7,Eesti Reformierakond,EERIK-NIILES KROSS,1110
7,Eesti Reformierakond,AIVAR SURVA,880
7,Eesti Reformierakond,MARIS TOOMEL,448
7,Eesti Reformierakond,ANDREA EICHE,416
7,Eesti Reformierakond,SERGEI GORLATŠ,279
7,Eesti Reformierakond,TOOMAS NÕMMISTE,268
7,Eesti Reformierakond,PRIIT PALMET,211
7,Eesti Reformierakond,MERIKE PERI,91
7,Eesti Reformierakond,OLESJA OJAMÄE,66
7,Erakond Eestimaa Rohelised,TIMUR SAGITOV,77
7,Erakond Eestimaa Rohelised,MÄRT PÕDER,44
7,Erakond Eestimaa Rohelised,OLGA GUDKOVA,32
7,Erakond Eestimaa Rohelised,DARJA VORONTSOVA,13
7,Erakond Eestimaa Rohelised,ANETTE-MARLEN OTT,13
7,Erakond Eestimaa Rohelised,ROMAN MUTONEN,9
7,Erakond Eestimaa Rohelised,ALEKSEI NEHOROŠKIN,7
7,Erakond Eestimaa Rohelised,LEONID MIRONOV,5
7,Erakond Eestimaa Rohelised,ELEONORA LOGINOVA,4
7,Sotsiaaldemokraatlik Erakond,KATRI RAIK,2112
7,Sotsiaaldemokraatlik Erakond,EDUARD ODINETS,573
7,Sotsiaaldemokraatlik Erakond,MAKSIM ILJIN,369
7,Sotsiaaldemokraatlik Erakond,ANTON PRATKUNAS,271
7,Sotsiaaldemokraatlik Erakond,ANTS KUTTI,211
7,Sotsiaaldemokraatlik Erakond,ETTI KAGAROV,181
7,Sotsiaaldemokraatlik Erakond,SERGEI SOLOVJOV,107
7,Sotsiaaldemokraatlik Erakond,TATJANA OLESK,98
7,Sotsiaaldemokraatlik Erakond,PAVEL PROKOPENKO,86
7,Elurikkuse Erakond,KAJA TOIKKA,95
7,Elurikkuse Erakond,AGO SAMOSON,11
7,Eesti Konservatiivne Rahvaerakond,RIHO BREIVEL,979
7,Eesti Konservatiivne Rahvaerakond,KERSTI KRACHT,373
7,Eesti Konservatiivne Rahvaerakond,ARVO ALLER,283
7,Eesti Konservatiivne Rahvaerakond,KALEV PRITS,175
7,Eesti Konservatiivne Rahvaerakond,MARI-LIIS LILLEMETS,118
7,Eesti Konservatiivne Rahvaerakond,EVELIN POOLAMETS,107
7,Eesti Konservatiivne Rahvaerakond,RINGO RIIVES,94
7,Eesti Konservatiivne Rahvaerakond,TIIT RAUD,74
7,Eesti Konservatiivne Rahvaerakond,ANDRES PIIBELEHT,31
7,Erakond Eesti 200,AHTI PUUR,454
7,Erakond Eesti 200,JANA PAVLENKOVA,209
7,Erakond Eesti 200,SVETLANA SKREBNEVA,91
7,Erakond Eesti 200,NIKITA LUMIJÕE,67
7,Erakond Eesti 200,MIHHAIL DERBNEV,60
7,Erakond Eesti 200,JÜRI KÄOSAAR,51
7,Erakond Eesti 200,DARJA BERESTOVA,37
7,Erakond Eesti 200,STANISLAV TITUŠKO,36
7,Erakond Eesti 200,VIKTOR GOLUBJATNIKOV,6
7,Eesti Keskerakond,YANA TOOM,6195
7,Eesti Keskerakond,MIHHAIL STALNUHHIN,2653
7,Eesti Keskerakond,MARTIN REPINSKI,976
7,Eesti Keskerakond,DMITRI DMITRIJEV,943
7,Eesti Keskerakond,VALERI KORB,798
7,Eesti Keskerakond,TARMO TAMMISTE,632
7,Eesti Keskerakond,MAKSIM VOLKOV,619
7,Eesti Keskerakond,EEVI PAASMÄE,529
7,Eestimaa Ühendatud Vasakpartei,VIKTOR MALÕGIN,65
7,Isamaa Erakond,MARJA-LIISA VEISER,448
7,Isamaa Erakond,TIIT SALVAN,382
7,Isamaa Erakond,SIIM VALMAR KIISLER,379
7,Isamaa Erakond,AIVO TAMM,148
7,Isamaa Erakond,ARTUR PÕLD,135
7,Isamaa Erakond,ARNO STRAUCH,119
7,Isamaa Erakond,JANEK RAIK,81
7,Isamaa Erakond,ANDRES NOORMÄGI,42
7,Isamaa Erakond,VALENTINA GUROVA,33
8,Eesti Vabaerakond,ARLET PALMISTE,101
8,Eesti Vabaerakond,AIN OSTRA,68
8,Eesti Vabaerakond,MARI-LIIS TAHKER,28
8,Eesti Vabaerakond,AIN AUKSIMÄE,21
8,Eesti Vabaerakond,OLEV RAHNU,20
8,Eesti Vabaerakond,JÜRMO SILLASTE,15
8,Eesti Vabaerakond,HEIKI RIPS,12
8,Eesti Vabaerakond,MARGUS SARDIS,10
8,Eesti Vabaerakond,HANNO KIRSCHFELDT,6
8,Eesti Reformierakond,JÜRGEN LIGI,6069
8,Eesti Reformierakond,YOKO ALENDER,997
8,Eesti Reformierakond,RAIT PIHELGAS,593
8,Eesti Reformierakond,TAIMO TUGI,459
8,Eesti Reformierakond,TÕNU JUUL,422
8,Eesti Reformierakond,MADIS TIMPSON,413
8,Eesti Reformierakond,SULEV KANNIMÄE,371
8,Eesti Reformierakond,MATI SADAM,296
8,Eesti Reformierakond,TARMO ALT,157
8,Erakond Eestimaa Rohelised,HANNES PUU,129
8,Erakond Eestimaa Rohelised,HELI KUUSE,97
8,Erakond Eestimaa Rohelised,ELO-MARIA ROOTS,45
8,Erakond Eestimaa Rohelised,KRISTJAN ROHTLA,42
8,Erakond Eestimaa Rohelised,ARVI TAPVER,20
8,Erakond Eestimaa Rohelised,ERKO ELMIK,16
8,Erakond Eestimaa Rohelised,TIINA RAMMUL,13
8,Erakond Eestimaa Rohelised,EVELI PERMANSON,11
8,Erakond Eestimaa Rohelised,JÜRI-JOONAS KEREM,4
8,Sotsiaaldemokraatlik Erakond,HELMEN KÜTT,2194
8,Sotsiaaldemokraatlik Erakond,LAURI LÄÄNEMETS,994
8,Sotsiaaldemokraatlik Erakond,JUHAN-MART SALUMÄE,509
8,Sotsiaaldemokraatlik Erakond,SIRET PIHELGAS,421
8,Sotsiaaldemokraatlik Erakond,PIRET AUS,241
8,Sotsiaaldemokraatlik Erakond,KÜLVAR MAND,156
8,Sotsiaaldemokraatlik Erakond,TONIO TAMRA,66
8,Sotsiaaldemokraatlik Erakond,KAAREL ORUMÄGI,60
8,Sotsiaaldemokraatlik Erakond,TAMBET SOVA,41
8,Elurikkuse Erakond,ÜLLE KULDKEPP,101
8,Elurikkuse Erakond,RIINA EIGI,80
8,Elurikkuse Erakond,JANICA SEPP,60
8,Elurikkuse Erakond,PRIIT-KALEV PARTS,57
8,Elurikkuse Erakond,PEEP TOBRELUTS,52
8,Eesti Konservatiivne Rahvaerakond,JAAK MADISON,5612
8,Eesti Konservatiivne Rahvaerakond,KALLE GRÜNTHAL,740
8,Eesti Konservatiivne Rahvaerakond,REIN SUURKASK,456
8,Eesti Konservatiivne Rahvaerakond,ENN SARV,441
8,Eesti Konservatiivne Rahvaerakond,HELI KOIT,436
8,Eesti Konservatiivne Rahvaerakond,MEDI MEIKAR,287
8,Eesti Konservatiivne Rahvaerakond,PRIIT JÜRJENS,190
8,Eesti Konservatiivne Rahvaerakond,TARMO HINTS,122
8,Eesti Konservatiivne Rahvaerakond,ANDO TULVIK,105
8,Erakond Eesti 200,RUSLAN TROCHYNSKYI,384
8,Erakond Eesti 200,KALLE KALLAS,148
8,Erakond Eesti 200,ANGELIKA NARIS,113
8,Erakond Eesti 200,KRISTER KALLAS,97
8,Erakond Eesti 200,RAUL ALLIKSAAR,97
8,Erakond Eesti 200,MARJU MÄGER,89
8,Erakond Eesti 200,LAURI VAIKSAAR,72
8,Erakond Eesti 200,TATJANA JÜRGEN,43
8,Erakond Eesti 200,TIIA PIIRIMEES,17
8,Eesti Keskerakond,JAAK AAB,2227
8,Eesti Keskerakond,KERSTI SARAPUU,1394
8,Eesti Keskerakond,PEETER RAHNEL,1019
8,Eesti Keskerakond,HELMUT HALLEMAA,700
8,Eesti Keskerakond,GETTER KLAAS,245
8,Eesti Keskerakond,HEIDY TAMME,236
8,Eesti Keskerakond,RAIVO MATSINA,215
8,Eesti Keskerakond,KARL ÕMBLUS,158
8,Eesti Keskerakond,AADO OHERD,59
8,Eestimaa Ühendatud Vasakpartei,DIANA NÕMBERG-KLAUS,13
8,Isamaa Erakond,HELIR-VALDOR SEEDER,3138
8,Isamaa Erakond,KAIA IVA,1526
8,Isamaa Erakond,ALAR KARU,531
8,Isamaa Erakond,PRIIT VÄRK,341
8,Isamaa Erakond,VALTER VAHA,170
8,Isamaa Erakond,JÜRI ELLRAM,160
8,Isamaa Erakond,HERMANN KALMUS,144
8,Isamaa Erakond,JANIKA GEDVIL,132
8,Isamaa Erakond,KASPAR KAARJAS,34
8,Üksikkandidaadid,JÜRI MALSUB,90
9,Eesti Vabaerakond,ELO LUTSEPP,207
9,Eesti Vabaerakond,MÄRT LÄÄNEMETS,84
9,Eesti Vabaerakond,MÄRT MEESAK,76
9,Eesti Vabaerakond,KAIDO VÄLJAOTS,62
9,Eesti Vabaerakond,KATRIN HAUK,38
9,Eesti Vabaerakond,URMAS HEINASTE,36
9,Eesti Vabaerakond,ELAR PLOOMIPUU,33
9,Eesti Vabaerakond,TIIT URVA,18
9,Eesti Vabaerakond,TAUNO KURE,17
9,Eesti Reformierakond,URMAS KRUUSE,5398
9,Eesti Reformierakond,VALDO RANDPERE,2079
9,Eesti Reformierakond,TOOMAS JÄRVEOJA,1494
9,Eesti Reformierakond,ERKKI KELDO,722
9,Eesti Reformierakond,RAIVO MEITUS,510
9,Eesti Reformierakond,ILLARI LÄÄN,388
9,Eesti Reformierakond,AIVAR SAARELA,293
9,Eesti Reformierakond,ÜLVI NOOL-KÕRE,287
9,Eesti Reformierakond,MERILI RANNISTE,228
9,Erakond Eestimaa Rohelised,KAI KÜNNIS-BERES,240
9,Erakond Eestimaa Rohelised,HENRY LAKS,165
9,Erakond Eestimaa Rohelised,KÜLLIKE REIMAA,59
9,Erakond Eestimaa Rohelised,IVO-HANNES LEHTSALU,37
9,Erakond Eestimaa Rohelised,RIINA PERNAU,33
9,Erakond Eestimaa Rohelised,ALO KAASIK,25
9,Erakond Eestimaa Rohelised,ERKI SAKSING,22
9,Erakond Eestimaa Rohelised,ARVO KUIV,21
9,Erakond Eestimaa Rohelised,TAAVO SAVIK,14
9,Sotsiaaldemokraatlik Erakond,EIKI NESTOR,1491
9,Sotsiaaldemokraatlik Erakond,JÜRI MOROZOV,735
9,Sotsiaaldemokraatlik Erakond,PRIIT LOMP,503
9,Sotsiaaldemokraatlik Erakond,MARIKA SAAR,367
9,Sotsiaaldemokraatlik Erakond,MARGUS MÖLDRI,220
9,Sotsiaaldemokraatlik Erakond,MAANO KOEMETS,205
9,Sotsiaaldemokraatlik Erakond,JARNO LAUR,198
9,Sotsiaaldemokraatlik Erakond,MATI KEPP,91
9,Sotsiaaldemokraatlik Erakond,JAAN SÕRRA,81
9,Elurikkuse Erakond,PEETER LEPISK,163
9,Elurikkuse Erakond,ANNELI PALO,146
9,Elurikkuse Erakond,KÜLLI ORG,45
9,Elurikkuse Erakond,TAUNO LAASIK,44
9,Elurikkuse Erakond,TOOMAS FREY,41
9,Eesti Konservatiivne Rahvaerakond,PEETER ERNITS,3846
9,Eesti Konservatiivne Rahvaerakond,RAIVO PÕLDARU,1414
9,Eesti Konservatiivne Rahvaerakond,MALLE PÄRN,1197
9,Eesti Konservatiivne Rahvaerakond,KERT KINGO,1082
9,Eesti Konservatiivne Rahvaerakond,AARE RÜÜTEL,565
9,Eesti Konservatiivne Rahvaerakond,ÜLLE ROSIN,557
9,Eesti Konservatiivne Rahvaerakond,AIVAR ÕUN,325
9,Eesti Konservatiivne Rahvaerakond,AIVO LILL,278
9,Eesti Konservatiivne Rahvaerakond,KRISTIAN SUVE,98
9,Erakond Eesti 200,ALEKSANDR ŠIROKOV,453
9,Erakond Eesti 200,ÜLLE PÄRL,453
9,Erakond Eesti 200,KADI PLOOM,278
9,Erakond Eesti 200,EVELIN PÄRL,131
9,Erakond Eesti 200,MAARIKA KUKK,116
9,Erakond Eesti 200,MARGUS PÄRSIK,115
9,Erakond Eesti 200,RONALD LAARMAA,114
9,Erakond Eesti 200,VÄINO UIBO,74
9,Erakond Eesti 200,KAARE PÕDER,55
9,Eesti Keskerakond,MARIKA TUUS-LAUL,2095
9,Eesti Keskerakond,JANEK MÄGGI,1671
9,Eesti Keskerakond,JAAN ÕUNAPUU,791
9,Eesti Keskerakond,PEEP PÕDDER,414
9,Eesti Keskerakond,MAX KAUR,404
9,Eesti Keskerakond,PEETER LAASIK,313
9,Eesti Keskerakond,AARE OLGO,281
9,Eesti Keskerakond,ANDRES VÄÄN,276
9,Eesti Keskerakond,TARMO TOMSON,193
9,Eestimaa Ühendatud Vasakpartei,TIINA RADIONOV,34
9,Isamaa Erakond,RAIVO TAMM,2583
9,Isamaa Erakond,AIVAR KOKK,2536
9,Isamaa Erakond,EVA KAMS,660
9,Isamaa Erakond,TIIT LÄÄNE,498
9,Isamaa Erakond,IVAR TEDREMA,312
9,Isamaa Erakond,RAIN SANGERNEBO,253
9,Isamaa Erakond,AARE ANDERSON,232
9,Isamaa Erakond,JAANA PUUR,144
9,Isamaa Erakond,HELDUR LÄÄNE,90
10,Eesti Vabaerakond,KUIDO NÕMM,430
10,Eesti Vabaerakond,VAHUR KOLLOM,117
10,Eesti Vabaerakond,MART KIVASTIK,106
10,Eesti Vabaerakond,ALVAR TIPP,44
10,Eesti Vabaerakond,HEIKI LILL,38
10,Eesti Vabaerakond,LAILI JÕGIAAS,29
10,Eesti Vabaerakond,KRISTO KARU,27
10,Eesti Vabaerakond,KAIDO KALLAVUS,22
10,Eesti Vabaerakond,HERLE GERASSIMOVA,18
10,Eesti Vabaerakond,HEINO RITSMAN,6
10,Eesti Reformierakond,URMAS KLAAS,6119
10,Eesti Reformierakond,ANTS LAANEOTS,3053
10,Eesti Reformierakond,SIGNE KIVI,1356
10,Eesti Reformierakond,HELE EVERAUS,1110
10,Eesti Reformierakond,MARGIT SUTROP,1082
10,Eesti Reformierakond,URMAS SIIGUR,940
10,Eesti Reformierakond,RAIMOND TAMM,792
10,Eesti Reformierakond,AIRIS MEIER,389
10,Eesti Reformierakond,RENO LAIDRE,354
10,Eesti Reformierakond,ANDRUS PUNT,309
10,Erakond Eestimaa Rohelised,MARKO KAASIK,362
10,Erakond Eestimaa Rohelised,REA SEPPING,109
10,Erakond Eestimaa Rohelised,INGA PLOOMIPUU,100
10,Erakond Eestimaa Rohelised,RAUL KÜBARSEPP,96
10,Erakond Eestimaa Rohelised,JÜRI GINTER,88
10,Erakond Eestimaa Rohelised,HELLE KAASIK,75
10,Erakond Eestimaa Rohelised,MERILY VAKKER,49
10,Erakond Eestimaa Rohelised,RUTH TAMMEORG,27
10,Erakond Eestimaa Rohelised,JAAN OLARI,20
10,Erakond Eestimaa Rohelised,ELMER JOANDI,13
10,Sotsiaaldemokraatlik Erakond,HELJO PIKHOF,1522
10,Sotsiaaldemokraatlik Erakond,MARJU LAURISTIN,1172
10,Sotsiaaldemokraatlik Erakond,GEA KANGILASKI,802
10,Sotsiaaldemokraatlik Erakond,TOOMAS JÜRGENSTEIN,735
10,Sotsiaaldemokraatlik Erakond,OTT MAIDRE,263
10,Sotsiaaldemokraatlik Erakond,LEMMIT KAPLINSKI,215
10,Sotsiaaldemokraatlik Erakond,MEELIS LUHT,131
10,Sotsiaaldemokraatlik Erakond,ASKO TAMME,98
10,Sotsiaaldemokraatlik Erakond,ANTS JOHANSON,85
10,Sotsiaaldemokraatlik Erakond,TÕNU INTS,64
10,Elurikkuse Erakond,MART JÜSSI,320
10,Elurikkuse Erakond,AHTO KAASIK,281
10,Eesti Konservatiivne Rahvaerakond,JAAK VALGE,2740
10,Eesti Konservatiivne Rahvaerakond,INDREK SÄRG,2223
10,Eesti Konservatiivne Rahvaerakond,INDREK KALDA,689
10,Eesti Konservatiivne Rahvaerakond,RUUBEN KAALEP,566
10,Eesti Konservatiivne Rahvaerakond,INDREK HIRV,295
10,Eesti Konservatiivne Rahvaerakond,HEIKI VILEP,247
10,Eesti Konservatiivne Rahvaerakond,MERIKE LUMI,246
10,Eesti Konservatiivne Rahvaerakond,AIN EHARI,241
10,Eesti Konservatiivne Rahvaerakond,AARE TAMM,200
10,Eesti Konservatiivne Rahvaerakond,MAREH KALDA,194
10,Erakond Eesti 200,KRISTIINA TÕNNISSON,775
10,Erakond Eesti 200,MARGUS TSAHKNA,612
10,Erakond Eesti 200,TANEL TEIN,530
10,Erakond Eesti 200,KADRI HALLER-KIKKATALO,166
10,Erakond Eesti 200,JAAK LAINESTE,153
10,Erakond Eesti 200,PILLE TSOPP-PAGAN,130
10,Erakond Eesti 200,JÜRI-OTT SALM,106
10,Erakond Eesti 200,ISMAIL MIRZOJEV,87
10,Erakond Eesti 200,KARIN JÕKS,59
10,Erakond Eesti 200,KIRILL AVDEJEV,59
10,Eesti Keskerakond,AADU MUST,2370
10,Eesti Keskerakond,JAAN TOOTS,871
10,Eesti Keskerakond,JELENA FRUNZE,732
10,Eesti Keskerakond,NIKOLAI PÕDRAMÄGI,683
10,Eesti Keskerakond,VLADIMIR ŠOKMAN,383
10,Eesti Keskerakond,IRINA PANOVA,335
10,Eesti Keskerakond,MARINA RIISALU,202
10,Eesti Keskerakond,VIKTOR TRASBERG,200
10,Eesti Keskerakond,MONICA RAND,164
10,Eesti Keskerakond,MADIS LEPAJÕE,159
10,Eestimaa Ühendatud Vasakpartei,VIIVI-HELBE PELJUHHOVSKA,30
10,Isamaa Erakond,TÕNIS LUKAS,2506
10,Isamaa Erakond,MIHHAIL LOTMAN,1086
10,Isamaa Erakond,LAURI VAHTRE,876
10,Isamaa Erakond,EVA-LIISA LUHAMETS,277
10,Isamaa Erakond,ANNELI KANNUS,221
10,Isamaa Erakond,KASPAR KOKK,145
10,Isamaa Erakond,PRIIT HUMAL,141
10,Isamaa Erakond,FRIEDRICH KAASIK,75
10,Isamaa Erakond,TARVO SIILABERG,56
10,Isamaa Erakond,JAAN VAIKSAAR,33
11,Eesti Vabaerakond,KAUL NURM,222
11,Eesti Vabaerakond,MARIKA PARV,157
11,Eesti Vabaerakond,ANNIKA TOOTS,59
11,Eesti Vabaerakond,ÜLLAR VANA,40
11,Eesti Vabaerakond,URMAS OTT,33
11,Eesti Vabaerakond,KATI KONGO,22
11,Eesti Vabaerakond,KRISTI VARUL,21
11,Eesti Vabaerakond,TÕNIS LUKATS,19
11,Eesti Vabaerakond,URMET KÜLAOTS,19
11,Eesti Vabaerakond,MIHKEL MÄLLO,14
11,Eesti Reformierakond,HANNO PEVKUR,3595
11,Eesti Reformierakond,LIINA KERSNA,2343
11,Eesti Reformierakond,MAIDO RUUSMANN,1093
11,Eesti Reformierakond,ANDRUS SEEME,764
11,Eesti Reformierakond,AIVAR ROSENBERG,512
11,Eesti Reformierakond,MARGUS LEPIK,449
11,Eesti Reformierakond,ÜLO NEEDO,428
11,Eesti Reformierakond,ANTI HAUGAS,379
11,Eesti Reformierakond,PEETER SIBUL,302
11,Eesti Reformierakond,EINIKE MÖLDER,164
11,Erakond Eestimaa Rohelised,INGA RAITAR,269
11,Erakond Eestimaa Rohelised,ZOJA MELLOV,63
11,Erakond Eestimaa Rohelised,STINA RAMMUL,28
11,Erakond Eestimaa Rohelised,ARVI MATVEI,19
11,Erakond Eestimaa Rohelised,EVE ROOTS,16
11,Erakond Eestimaa Rohelised,HARRI TILK,13
11,Erakond Eestimaa Rohelised,MOONIKA MALMRE,12
11,Erakond Eestimaa Rohelised,MARGARITA RANDVIIR,9
11,Erakond Eestimaa Rohelised,MEIDI TIIMUS,6
11,Erakond Eestimaa Rohelised,PIRET KÄIGE,5
11,Sotsiaaldemokraatlik Erakond,IVARI PADAR,1457
11,Sotsiaaldemokraatlik Erakond,ANTI ALLAS,789
11,Sotsiaaldemokraatlik Erakond,KALVI KÕVA,605
11,Sotsiaaldemokraatlik Erakond,REIN RANDVER,499
11,Sotsiaaldemokraatlik Erakond,INARA LUIGAS,404
11,Sotsiaaldemokraatlik Erakond,SIRJE TOBRELUTS,401
11,Sotsiaaldemokraatlik Erakond,KAUPO KUTSAR,315
11,Sotsiaaldemokraatlik Erakond,TARMO TAMM,268
11,Sotsiaaldemokraatlik Erakond,REIN JÄRVELILL,216
